address,suburb,earliest_confirmed_year,min_age_years,lead_score,age_confidence,address_match,area_m2,lot_m2,length_m,width_m,rect_fill,category,contact_name,contact_phone,contact_email,contact_website,postcode,council,pools_at_address,lat,lon,osm_id
102 BARKER ROAD STRATHFIELD,STRATHFIELD,1998,28,67.9,0.6,exact,29.5,2179.6,8.2,3.6,0.998,residential,,,,,2135,STRATHFIELD,,-33.876723,151.0715202,way/567798268
1 WALLIS AVENUE STRATHFIELD,STRATHFIELD,1998,28,67.9,0.6,exact,29.5,1409.5,8.2,3.6,0.998,residential,,,,,2135,STRATHFIELD,,-33.8780235,151.0805962,way/567798280
64-70 ALBERT ROAD STRATHFIELD,STRATHFIELD,1998,28,67.9,0.6,exact,38.4,4542.8,9.5,4.0,1.0,residential,,,,,2135,STRATHFIELD,,-33.871454,151.0903153,way/573759867
19 WALLIS AVENUE STRATHFIELD,STRATHFIELD,1998,28,67.9,0.6,exact,41.0,1608.8,10.3,4.0,0.998,residential,,,,,2135,STRATHFIELD,,-33.8804553,151.0799008,way/944630324
111 ALT STREET ASHFIELD,ASHFIELD,1998,28,67.9,0.6,exact,28.2,2833.1,8.4,3.4,1.0,residential,,,,,2131,INNER WEST,,-33.8801644,151.1300906,way/1413834124
21 KOBADA ROAD DOVER HEIGHTS,DOVER HEIGHTS,1998,28,67.9,0.75,exact,41.8,564.4,9.6,4.4,0.999,residential,,,,,2030,WAVERLEY,,-33.8666548,151.2796147,way/875117964
74 ONSLOW STREET ROSE BAY,ROSE BAY,1998,28,67.9,0.81,exact,42.0,423.8,9.7,4.8,0.914,residential,,,,,2029,WOOLLAHRA,,-33.8765041,151.2759763,way/955843420
38 ROSLYNDALE AVENUE WOOLLAHRA,WOOLLAHRA,1998,28,67.9,0.48,exact,31.5,1388.1,7.6,4.2,0.999,residential,,,,,2025,WOOLLAHRA,2,-33.8847239,151.2447981,way/1424707028
76-82 BELLEVUE ROAD BELLEVUE HILL,BELLEVUE HILL,1998,28,67.9,0.6,exact,28.0,3649.0,8.2,3.4,0.999,residential,,,,,2023,WOOLLAHRA,,-33.8841124,151.2539078,way/1424707101
86 OCEAN STREET WOOLLAHRA,WOOLLAHRA,1998,28,67.9,0.85,nearby,92.0,679.8,13.6,9.2,0.739,residential,,,,,2025,WOOLLAHRA,,-33.8840469,151.2386383,way/1424811171
40 TOMAH STREET CARLINGFORD,CARLINGFORD,2005,21,67.9,0.85,nearby,40.9,1335.2,9.1,6.3,0.718,residential,,,,,2118,CITY OF PARRAMATTA,,-33.7819572,151.0583702,way/983573835
10 NORTHCOTT WAY CHERRYBROOK,CHERRYBROOK,1998,28,67.9,0.4,exact,28.4,624.3,8.9,4.5,0.712,residential,,,,,2126,HORNSBY,2,-33.7224409,151.0368236,way/1289646282
14X REDGUM AVENUE PENNANT HILLS,PENNANT HILLS,1998,28,67.9,0.63,exact,13.6,2569.2,5.2,2.6,0.998,residential,,,,,2120,HORNSBY,,-33.7304146,151.0645275,way/1290250499
24 MONTEREY PLACE CHERRYBROOK,CHERRYBROOK,1998,28,67.9,0.4,exact,38.6,749.3,9.1,5.9,0.718,residential,,,,,2126,HORNSBY,,-33.7252483,151.0364023,way/1290854480
33 PRITCHARD STREET THORNLEIGH,THORNLEIGH,1998,28,67.9,0.26,exact,42.5,1437.6,9.7,5.6,0.78,residential,,,,,2120,HORNSBY,,-33.7319249,151.0735117,way/1305239646
166A BEECROFT ROAD CHELTENHAM,CHELTENHAM,1998,28,67.9,0.6,exact,39.6,1613.9,9.9,4.0,0.998,residential,,,,,2119,HORNSBY,,-33.7586069,151.0735734,way/1330527461
31 BORONIA AVENUE BEECROFT,BEECROFT,1998,28,67.9,0.6,exact,51.6,1917.6,11.5,4.5,1.0,residential,,,,,2119,HORNSBY,,-33.7563835,151.0693429,way/1332149385
18 COBRAN ROAD CHELTENHAM,CHELTENHAM,1998,28,67.9,0.63,exact,22.9,1335.1,6.5,3.5,0.998,residential,,,,,2119,HORNSBY,,-33.7570811,151.0831218,way/1334922189
65 DOULTON DRIVE CHERRYBROOK,CHERRYBROOK,1998,28,67.9,0.6,exact,41.0,2925.5,10.2,4.0,1.0,residential,,,,,2126,HORNSBY,,-33.7291803,151.0371636,way/1298740165
42 COLES ROAD FRESHWATER,FRESHWATER,1998,28,67.9,0.63,exact,21.3,1722.4,6.1,3.5,1.0,residential,,,,,2096,NORTHERN BEACHES,,-33.774808,151.2739841,way/570817653
BELLATRIX STREET CRANEBROOK,CRANEBROOK,1998,28,67.9,0.63,exact,23.9,3230.3,7.3,3.3,0.999,residential,,,,,2749,PENRITH,,-33.7066724,150.7136923,way/1119102522
19 BARWON AVENUE SOUTH TURRAMURRA,SOUTH TURRAMURRA,1998,28,67.9,0.6,exact,31.8,2463.8,8.5,3.7,1.0,residential,,,,,2074,KU-RING-GAI,,-33.7520911,151.1081419,way/941632473
43 CARBEEN AVENUE ST IVES,ST IVES,1998,28,67.9,0.38,exact,74.1,1580.3,12.8,6.3,0.917,residential,,,,,2075,KU-RING-GAI,,-33.7221119,151.1564654,way/1311209601
30 NELSON STREET GORDON,GORDON,1998,28,67.9,0.63,exact,25.8,3208.0,6.8,3.8,0.999,residential,,,,,2072,KU-RING-GAI,,-33.7540892,151.1602747,way/1330089830
45 KENTIA PARADE CHERRYBROOK,CHERRYBROOK,1998,28,67.9,0.63,exact,27.1,2100.7,6.9,3.9,0.999,residential,,,,,2126,HORNSBY,,-33.7134981,151.0410516,way/1286938767
93 COONANBARRA ROAD WAHROONGA,WAHROONGA,1998,28,67.9,0.6,exact,41.2,1445.3,10.3,4.1,0.986,residential,,,,,2076,KU-RING-GAI,,-33.7108234,151.117964,way/1164638912
82 BAY ROAD BERRILEE,BERRILEE,1998,28,67.9,0.65,exact,59.9,16854.0,10.9,7.1,0.778,residential,,,,,2159,HORNSBY,2,-33.6148759,151.0966831,way/1313164893
25A BLACKWOOD STREET MIRANDA,MIRANDA,1998,28,67.8,0.52,exact,17.2,1144.8,5.6,3.7,0.831,residential,,,,,2228,SUTHERLAND SHIRE,,-34.0403572,151.0982133,way/1481764255
95 RAMSAY STREET HABERFIELD,HABERFIELD,1998,28,67.8,0.64,nearby,41.3,2687.5,9.4,4.4,1.0,residential,,,,,2045,INNER WEST,,-33.88178,151.1399087,way/1413834123
35 WILBERFORCE AVENUE ROSE BAY,ROSE BAY,1998,28,67.8,0.71,exact,42.0,854.6,10.5,4.0,1.0,residential,,,,,2029,WOOLLAHRA,,-33.8738704,151.2721954,way/875174346
57A ONSLOW STREET ROSE BAY,ROSE BAY,1998,28,67.8,0.85,nearby,28.9,352.8,7.9,4.4,0.831,residential,,,,,2029,WOOLLAHRA,2,-33.876623,151.2757315,way/955843406
25 STREATFIELD ROAD BELLEVUE HILL,BELLEVUE HILL,1998,28,67.8,0.42,nearby,48.3,1252.3,10.8,5.7,0.784,residential,,,,,2023,WOOLLAHRA,,-33.884325,151.2520368,way/1424707037
9 ALEXANDRA ROAD GLEBE,GLEBE,1998,28,67.8,0.85,nearby,79.1,384.6,13.0,7.3,0.828,residential,,,,,2037,SYDNEY,,-33.8745603,151.1800279,way/603042335
182 HOPETOUN AVENUE WATSONS BAY,WATSONS BAY,1998,28,67.8,0.76,nearby,71.5,1911.5,13.7,5.2,1.0,residential,,,,,2030,WOOLLAHRA,,-33.8461626,151.2818207,way/1481742920
7 HAITE CLOSE WEST PYMBLE,WEST PYMBLE,1998,28,67.8,0.84,exact,53.9,271102.9,11.7,6.1,0.756,residential,,,,,2073,KU-RING-GAI,4,-33.7593583,151.1174882,way/1311136522
2 MANUKA CIRCLE CHERRYBROOK,CHERRYBROOK,1998,28,67.8,0.76,nearby,51.3,1086.6,9.0,5.7,0.999,residential,,,,,2126,HORNSBY,2,-33.7231705,151.0440572,way/1277819843
423-521 OLD NORTHERN ROAD CASTLE HILL,CASTLE HILL,1998,28,67.8,0.84,exact,39.1,264208.1,8.6,5.5,0.827,residential,,,,,2154,THE HILLS SHIRE,4,-33.7251054,151.0207285,way/1302205428
11 BOXWOOD PLACE CHERRYBROOK,CHERRYBROOK,1998,28,67.8,0.59,exact,49.8,1106.0,10.3,4.8,1.0,residential,,,,,2126,HORNSBY,2,-33.7231969,151.0383779,way/1292599099
39 MYSON DRIVE CHERRYBROOK,CHERRYBROOK,1998,28,67.8,0.39,exact,20.1,1099.7,8.4,3.9,0.615,residential,,,,,2126,HORNSBY,,-33.7298417,151.0410234,way/1294970837
17 TILLOCK STREET THORNLEIGH,THORNLEIGH,1998,28,67.8,0.71,exact,58.3,1141.7,12.1,4.8,1.0,residential,,,,,2120,HORNSBY,,-33.7305273,151.0733922,way/1306301191
18/27 THORNLEIGH STREET THORNLEIGH,THORNLEIGH,1998,28,67.8,0.76,nearby,34.6,2101.1,10.3,3.3,1.0,residential,,,,,2120,HORNSBY,,-33.7335233,151.0809736,way/1328146372
75 TALLOWWOOD AVENUE CHERRYBROOK,CHERRYBROOK,1998,28,67.8,0.52,exact,23.5,1071.8,7.5,3.9,0.8,residential,,,,,2126,HORNSBY,,-33.7233375,151.0418765,way/1313962605
3 IWAN PLACE BEAUMONT HILLS,BEAUMONT HILLS,1998,28,67.8,0.74,exact,26.3,1099.6,6.1,4.3,0.998,residential,,,,,2155,THE HILLS SHIRE,,-33.7008761,150.9503212,way/1489279693
69 HANCOCK DRIVE CHERRYBROOK,CHERRYBROOK,1998,28,67.8,0.74,exact,27.1,1073.0,6.6,4.1,0.999,residential,,,,,2126,HORNSBY,,-33.7176303,151.0355534,way/1292542167
89 BOORALIE ROAD TERREY HILLS,TERREY HILLS,1998,28,67.8,0.84,exact,47.0,40835.3,10.3,5.9,0.774,residential,,,,,2084,NORTHERN BEACHES,2,-33.6789966,151.2173347,way/1318955634
84 BOORALIE ROAD TERREY HILLS,TERREY HILLS,1998,28,67.8,0.84,exact,33.2,26761.9,8.6,5.1,0.755,residential,,,,,2084,NORTHERN BEACHES,3,-33.6771829,151.2207441,way/1321538560
146 BOUNDARY ROAD NORTH WAHROONGA,NORTH WAHROONGA,1998,28,67.8,0.84,exact,39.9,721042.2,9.7,5.6,0.738,residential,,,,,2076,KU-RING-GAI,5,-33.7047754,151.1421926,way/1312980815
2 ALLARA AVENUE NORTH TURRAMURRA,NORTH TURRAMURRA,1998,28,67.8,0.42,nearby,40.1,1327.4,10.2,4.9,0.804,residential,,,,,2074,KU-RING-GAI,,-33.7156189,151.1464476,way/1311009259
11 HAFEY ROAD KENTHURST,KENTHURST,1998,28,67.8,0.84,exact,61.5,1058614.8,12.2,6.5,0.776,residential,,,,,2156,THE HILLS SHIRE,2,-33.6365282,150.9938782,way/504000522
13 WOLSTENHOLME AVENUE GYMEA,GYMEA,1998,28,67.7,0.65,nearby,29.5,939.4,7.8,4.3,0.872,residential,,,,,2227,SUTHERLAND SHIRE,,-34.0307604,151.0881551,way/1483313574
141 COOGEE BAY ROAD COOGEE,COOGEE,1998,28,67.7,0.37,exact,47.7,1726.2,13.6,4.7,0.744,residential,,,,,2034,RANDWICK,,-33.920311,151.2513455,way/678561002
98 KING STREET CANTERBURY,CANTERBURY,1998,28,67.7,0.83,exact,29.8,495487.3,8.5,4.5,0.777,residential,,,,,2193,CANTERBURY-BANKSTOWN,2,-33.9050219,151.117989,way/1221440294
30 PALMER AVENUE STRATHFIELD,STRATHFIELD,1991,35,67.7,0.54,nearby,41.0,1051.4,10.3,4.0,0.999,residential,,,,,2135,STRATHFIELD,,-33.8874558,151.077847,way/565655673
5A JERSEY ROAD STRATHFIELD,STRATHFIELD,1998,28,67.7,0.59,exact,41.0,1239.9,10.3,4.0,0.999,residential,,,,,2135,STRATHFIELD,,-33.8784505,151.0959577,way/565699226
10 SOUTH STREET STRATHFIELD,STRATHFIELD,1998,28,67.7,0.59,exact,41.0,1859.2,10.3,4.0,1.0,residential,,,,,2135,STRATHFIELD,,-33.8791715,151.0779238,way/566064668
162-164 ALBERT ROAD STRATHFIELD,STRATHFIELD,1998,28,67.7,0.59,exact,72.6,4254.0,12.8,5.7,0.999,residential,,,,,2135,STRATHFIELD,,-33.8747001,151.0824306,way/566064682
5 AGNES STREET STRATHFIELD,STRATHFIELD,1998,28,67.7,0.59,exact,41.0,1301.8,10.3,4.0,0.999,residential,,,,,2135,STRATHFIELD,,-33.8802409,151.0893809,way/566946545
34 MURRAY STREET CROYDON,CROYDON,1998,28,67.7,0.79,exact,23.1,731.9,8.5,3.2,0.834,residential,,,,,2132,BURWOOD,,-33.8838999,151.1080457,way/1427561041
14 CARRINGTON ROAD WAVERLEY,WAVERLEY,1998,28,67.7,0.85,exact,954.5,31305.1,50.3,28.1,0.675,public_commercial,,,,,2024,WAVERLEY,,-33.8977627,151.2559576,way/177388440
34 TOWNS ROAD VAUCLUSE,VAUCLUSE,1998,28,67.7,0.62,exact,24.5,1280.7,6.9,3.5,1.0,residential,,,,,2030,WOOLLAHRA,,-33.8651416,151.2762179,way/875118007
23 GEORGE STREET DOVER HEIGHTS,DOVER HEIGHTS,1998,28,67.7,0.76,exact,30.5,771.5,8.8,3.9,0.883,residential,,,,,2030,WAVERLEY,,-33.867247,151.2811123,way/875174121
297-297A EDGECLIFF ROAD WOOLLAHRA,WOOLLAHRA,1998,28,67.7,0.64,exact,38.5,5458.8,9.3,5.7,0.728,residential,,,,,2025,WOOLLAHRA,2,-33.8852761,151.2423709,way/1424707084
2 MURRAY STREET SYDNEY,SYDNEY,1998,28,67.7,0.85,exact,126.3,55038.2,14.0,12.6,0.716,residential,,,,,2000,SYDNEY,2,-33.8690307,151.1998522,way/1413833032
30 RANGERS ROAD CREMORNE,CREMORNE,2005,21,67.7,0.84,nearby,48.5,1251.9,11.9,6.3,0.651,residential,,,,,2090,NORTH SYDNEY,,-33.8335813,151.2260709,way/1524819190
30 KIRKOSWALD AVENUE MOSMAN,MOSMAN,1998,28,67.7,0.59,exact,31.4,2210.2,9.0,3.5,0.998,residential,,,,,2088,MOSMAN,,-33.8164821,151.2510146,way/1532947701
12 CHALEYER STREET ROSE BAY,ROSE BAY,1998,28,67.7,0.64,exact,29.4,681.6,7.9,4.3,0.873,residential,,,,,2029,WOOLLAHRA,,-33.8768516,151.2727094,way/955379355
28 BANGALLA ROAD ROSE BAY,ROSE BAY,1998,28,67.7,0.81,nearby,41.1,719.5,9.1,5.2,0.871,residential,,,,,2029,WOOLLAHRA,,-33.8757867,151.2769732,way/955843391
40X THE COMENARRA PARKWAY THORNLEIGH,THORNLEIGH,1998,28,67.7,0.83,exact,37.9,275523.3,10.0,4.7,0.805,residential,,,,,2120,HORNSBY,6,-33.7333134,151.0883664,way/980062194
29-33X CALLISTEMON CLOSE NORTH EPPING,NORTH EPPING,1998,28,67.7,0.83,exact,33.9,61115.7,7.4,5.8,0.79,residential,,,,,2121,HORNSBY,3,-33.7598717,151.0838139,way/1336299394
65 FRANCIS GREENWAY DRIVE CHERRYBROOK,CHERRYBROOK,1998,28,67.7,0.62,exact,19.9,1538.9,6.4,3.1,0.998,residential,,,,,2126,HORNSBY,,-33.7257039,151.0513041,way/1294971973
38B LAURENCE STREET PENNANT HILLS,PENNANT HILLS,1998,28,67.7,0.64,exact,59.5,720.7,10.7,6.5,0.857,residential,,,,,2120,HORNSBY,,-33.7319127,151.0614873,way/1318343156
7 HERITAGE COURT CASTLE HILL,CASTLE HILL,1998,28,67.7,0.83,exact,28.5,20045.7,8.1,4.8,0.738,residential,,,,,2154,THE HILLS SHIRE,2,-33.7454388,151.0088749,way/800897586
72 CROMER ROAD CROMER,CROMER,1998,28,67.7,0.83,exact,44.3,32173.7,8.7,6.6,0.775,residential,,,,,2099,NORTHERN BEACHES,3,-33.7299472,151.2614645,way/1426873035
48 YARRABUNG ROAD ST IVES,ST IVES,1998,28,67.7,0.47,exact,38.4,1424.0,8.8,4.4,1.0,residential,,,,,2075,KU-RING-GAI,,-33.7352339,151.1698975,way/1346335010
194 CHAPMAN PARADE FAULCONBRIDGE,FAULCONBRIDGE,1998,28,67.7,0.83,exact,29.0,44371.5,6.6,5.3,0.82,residential,,,,,2776,BLUE MOUNTAINS,2,-33.6764945,150.5609982,way/1055102161
54 BEECHWORTH ROAD PYMBLE,PYMBLE,1998,28,67.7,0.59,exact,36.9,1257.4,9.2,4.0,0.999,residential,,,,,2073,KU-RING-GAI,,-33.7441847,151.1308735,way/942757529
52 ST JOHNS AVENUE GORDON,GORDON,1998,28,67.7,0.59,exact,42.2,1921.3,10.3,4.5,0.921,residential,,,,,2072,KU-RING-GAI,,-33.7587601,151.148519,way/966624964
6 CATALPA AVENUE BLAXLAND,BLAXLAND,1998,28,67.7,0.37,exact,29.3,1302.6,8.4,3.9,0.904,residential,,,,,2774,BLUE MOUNTAINS,,-33.7427134,150.6121203,way/1011128153
14 MACKS GLEN BEAUMONT HILLS,BEAUMONT HILLS,1998,28,67.7,0.68,nearby,23.3,886.8,7.7,3.9,0.78,residential,,,,,2155,THE HILLS SHIRE,2,-33.6993078,150.9441282,way/1470182013
10-12 COLLEGE CRESCENT HORNSBY,HORNSBY,1998,28,67.7,0.62,exact,24.2,3738.5,6.9,3.6,0.976,residential,,,,,2077,HORNSBY,,-33.7092695,151.0978958,way/560715291
2 KULGOA CRESCENT DUFFYS FOREST,DUFFYS FOREST,1998,28,67.7,0.83,exact,44.2,29458.8,10.1,5.5,0.796,residential,,,,,2084,NORTHERN BEACHES,2,-33.673217,151.2048778,way/1321538570
23 PROTEA PLACE CHERRYBROOK,CHERRYBROOK,1998,28,67.7,0.47,exact,38.8,1480.4,7.7,5.0,1.0,residential,,,,,2126,HORNSBY,,-33.7177957,151.037458,way/1270851823
25 WAYFIELD ROAD GLENHAVEN,GLENHAVEN,1998,28,67.7,0.85,exact,98.5,29339.1,14.6,9.8,0.693,residential,,,,,2156,THE HILLS SHIRE,3,-33.7092345,151.0236399,way/1317477954
414-416 OLD NORTHERN ROAD GLENHAVEN,GLENHAVEN,1998,28,67.7,0.64,exact,26.5,3061.5,8.4,3.7,0.855,residential,,,,,2156,THE HILLS SHIRE,,-33.7116889,151.0111628,way/1314621921
22 CATTAI RIDGE ROAD GLENORIE,GLENORIE,1998,28,67.7,0.76,exact,47.7,15132.9,10.1,5.6,0.841,residential,,,,,2157,THE HILLS SHIRE,,-33.6188001,151.0056821,way/1365415811
4 BARCOO ISLAND SYLVANIA WATERS,WATERS,1998,28,67.6,0.36,exact,40.6,969.8,9.5,5.3,0.805,residential,,,,,,,,-34.0158391,151.1174728,way/1482507664
26 KENSINGTON ROAD KENSINGTON,KENSINGTON,1998,28,67.6,0.58,exact,37.5,909.2,8.7,4.3,1.0,residential,,,,,2033,RANDWICK,,-33.9081535,151.2210458,way/1445760368
5 BODEN AVENUE STRATHFIELD,STRATHFIELD,1998,28,67.6,0.7,exact,41.0,1120.5,10.3,4.0,0.998,residential,,,,,2135,STRATHFIELD,,-33.878273,151.0707769,way/564305126
167-169 ALBERT ROAD STRATHFIELD,STRATHFIELD,1998,28,67.6,0.85,exact,34.0,11166.5,8.6,4.0,0.999,residential,,,,,2135,STRATHFIELD,,-33.8754297,151.078447,way/565655467
88-94 REDMYRE ROAD STRATHFIELD,STRATHFIELD,1998,28,67.6,0.85,exact,74.1,5281.1,12.1,6.1,1.0,residential,,,,,2135,STRATHFIELD,2,-33.8762716,151.0845161,way/565661363
62 ALBYN ROAD STRATHFIELD,STRATHFIELD,1998,28,67.6,0.7,exact,29.5,874.0,8.2,3.6,0.998,residential,,,,,2135,STRATHFIELD,,-33.8793696,151.086461,way/566946536
103 ROCHESTER STREET STRATHFIELD,STRATHFIELD,1998,28,67.6,0.58,exact,61.6,1101.3,11.0,5.6,0.999,residential,,,,,2135,STRATHFIELD,,-33.8717579,151.0822441,way/568398620
7 BIRNAM GROVE STRATHFIELD,STRATHFIELD,1998,28,67.6,0.7,exact,41.0,1171.7,10.3,4.0,0.999,residential,,,,,2135,STRATHFIELD,,-33.8812808,151.0841792,way/944630340
126/108 ELIZABETH BAY ROAD ELIZABETH BAY,ELIZABETH BAY,1998,28,67.6,0.85,exact,59.9,5053.5,11.3,5.3,0.999,residential,,,,,2011,SYDNEY,,-33.870322,151.2305029,way/580027031
1/356-366 NEW SOUTH HEAD ROAD DOUBLE BAY,DOUBLE BAY,1998,28,67.6,0.8,nearby,54.1,674.5,10.4,6.0,0.876,residential,,,,,2028,WOOLLAHRA,,-33.8776932,151.2429038,way/831654236
8B BULKARA ROAD BELLEVUE HILL,BELLEVUE HILL,1998,28,67.6,0.85,exact,24.5,1037.9,8.1,3.0,0.997,residential,,,,,2023,WOOLLAHRA,,-33.8798771,151.2502903,way/833710612
106 MURRIVERIE ROAD NORTH BONDI,NORTH BONDI,1998,28,67.6,0.85,exact,27.0,1130.8,8.4,3.2,0.999,residential,,,,,2026,WAVERLEY,2,-33.8823069,151.2797977,way/889245604
6 GINAHGULLA ROAD BELLEVUE HILL,BELLEVUE HILL,1998,28,67.6,0.85,exact,38.0,8418.8,9.0,4.5,0.937,residential,,,,,2023,WOOLLAHRA,,-33.874616,151.2500746,way/954966012
17 DOUGLAS PARADE DOVER HEIGHTS,DOVER HEIGHTS,1998,28,67.6,0.7,exact,47.0,1011.7,10.6,4.6,0.971,residential,,,,,2030,WAVERLEY,,-33.8800986,151.2827155,way/955843250
18 KIAORA ROAD DOUBLE BAY,DOUBLE BAY,1998,28,67.6,0.85,exact,40.6,12888.7,9.0,4.5,0.999,residential,,,,,2028,WOOLLAHRA,2,-33.8823974,151.2471195,way/1424811200
12 WEEROONA AVENUE WOOLLAHRA,WOOLLAHRA,1998,28,67.6,0.85,exact,19.7,875.4,6.9,2.9,0.999,residential,,,,,2025,WOOLLAHRA,,-33.8853107,151.2431584,way/1424707089
14 RUSSELL STREET WOOLLAHRA,WOOLLAHRA,1998,28,67.6,0.85,exact,21.2,962.3,7.1,3.0,0.999,residential,,,,,2025,WOOLLAHRA,,-33.887874,151.2470978,way/1424742928
8 WEEROONA AVENUE WOOLLAHRA,WOOLLAHRA,1998,28,67.6,0.36,exact,31.6,858.7,6.8,6.3,0.746,residential,,,,,2025,WOOLLAHRA,,-33.8849819,151.2434228,way/1424811222
42 THE CRESCENT VAUCLUSE,VAUCLUSE,1998,28,67.6,0.85,exact,31.8,9787.4,8.1,3.9,0.998,residential,,,,,2030,WOOLLAHRA,4,-33.8478239,151.2786094,way/1481742956
EXPLORER STREET EVELEIGH,EVELEIGH,1998,28,67.6,0.85,exact,34.2,9018.1,8.0,4.4,0.97,residential,,,,,2015,SYDNEY,2,-33.8978568,151.1876207,way/1490190760
36 YODALLA AVENUE EMU PLAINS,EMU PLAINS,1998,28,67.6,0.23,exact,30.0,1128.4,8.2,5.3,0.699,residential,,,,,2750,PENRITH,,-33.7559845,150.6650994,way/458492003
209 HILL END ROAD DOONSIDE,DOONSIDE,1998,28,67.6,0.85,exact,37.7,17523.2,8.9,4.6,0.93,residential,,,,,2767,BLACKTOWN,,-33.7496982,150.8729808,way/1410266437
11 BAMBARA CRESCENT BEECROFT,BEECROFT,2005,21,67.6,0.67,exact,41.0,1453.8,9.8,5.8,0.715,residential,,,,,2119,HORNSBY,,-33.7626059,151.0598547,way/838429867
202 MALTON ROAD NORTH EPPING,NORTH EPPING,1998,28,67.6,0.85,exact,42.8,8741.5,9.1,4.7,0.999,residential,,,,,2121,HORNSBY,,-33.7545173,151.0870631,way/1000802621
28 YANDERRA GROVE CHERRYBROOK,CHERRYBROOK,1998,28,67.6,0.48,exact,29.3,1057.4,7.7,4.3,0.872,residential,,,,,2126,HORNSBY,2,-33.7237431,151.0495485,way/1272651318
70 GUMNUT ROAD CHERRYBROOK,CHERRYBROOK,1998,28,67.6,0.7,exact,35.2,1089.6,10.5,3.4,0.999,residential,,,,,2126,HORNSBY,,-33.7251127,151.0403127,way/1292610045
9 IVY PLACE CHERRYBROOK,CHERRYBROOK,1998,28,67.6,0.75,nearby,40.2,1546.0,9.7,4.1,0.999,residential,,,,,2126,HORNSBY,,-33.7247474,151.0452597,way/1294973474
31X SHEPHERDS DRIVE CHERRYBROOK,CHERRYBROOK,1998,28,67.6,0.85,exact,31.9,14785.2,7.8,4.1,0.998,residential,,,,,2126,HORNSBY,,-33.7203116,151.041644,way/1295079430
349-355 PENNANT HILLS ROAD PENNANT HILLS,PENNANT HILLS,1998,28,67.6,0.85,exact,47.8,19565.4,9.9,4.8,0.999,residential,,,,,2120,HORNSBY,2,-33.7372821,151.0750659,way/1310974648
CRANE ROAD CASTLE HILL,CASTLE HILL,1998,28,67.6,0.85,exact,35.1,9730.8,8.7,4.2,0.972,residential,,,,,2154,THE HILLS SHIRE,2,-33.7377439,151.0134581,way/682796625
21 TIMOTHY AVENUE CASTLE HILL,CASTLE HILL,1998,28,67.6,0.85,exact,27.9,1056.1,8.0,3.6,0.961,residential,,,,,2154,THE HILLS SHIRE,,-33.7380576,151.0115535,way/800264357
21 JINDABYNE AVENUE BAULKHAM HILLS,BAULKHAM HILLS,1998,28,67.6,0.85,exact,27.2,1078.4,9.0,3.3,0.929,residential,,,,,2153,THE HILLS SHIRE,,-33.7537006,150.998547,way/805269571
11 BOWEN CLOSE CHERRYBROOK,CHERRYBROOK,1998,28,67.6,0.73,exact,27.5,1049.8,7.0,3.9,0.998,residential,,,,,2126,HORNSBY,,-33.7225178,151.0332776,way/1292577675
12 MARIAM PLACE CHERRYBROOK,CHERRYBROOK,1998,28,67.6,0.36,exact,45.1,938.6,11.3,5.4,0.74,residential,,,,,2126,HORNSBY,,-33.7330997,151.0288161,way/1323148648
VANESSA AVENUE BAULKHAM HILLS,BAULKHAM HILLS,1998,28,67.6,0.8,nearby,36.9,18219.1,9.5,5.3,0.732,residential,,,,,2153,THE HILLS SHIRE,,-33.7532454,150.9830978,way/1535311137
28 CHARLIE YANKOS STREET GLENWOOD,GLENWOOD,1998,28,67.6,0.36,exact,36.2,817.0,8.7,5.5,0.749,residential,,,,,2768,BLACKTOWN,,-33.737391,150.9434411,way/1313695098
AQUATIC DRIVE FRENCHS FOREST,FRENCHS FOREST,1998,28,67.6,0.85,exact,31.1,18490.5,8.1,3.9,1.0,residential,,,,,2086,NORTHERN BEACHES,14,-33.755977,151.2361079,way/868518729
3 ANDOVE STREET BELROSE,BELROSE,1998,28,67.6,0.36,exact,34.5,1018.0,8.8,5.2,0.751,residential,,,,,2085,NORTHERN BEACHES,,-33.7327817,151.2184099,way/1330119841
28 MEEKS CRESCENT FAULCONBRIDGE,FAULCONBRIDGE,1998,28,67.6,0.75,exact,50.8,5795.6,10.7,5.6,0.843,residential,,,,,2776,BLUE MOUNTAINS,,-33.6907898,150.538738,way/970119925
5C GANMAIN ROAD PYMBLE,PYMBLE,1998,28,67.6,0.63,exact,31.5,11659.2,7.1,5.7,0.776,residential,,,,,2073,KU-RING-GAI,,-33.7362194,151.1505668,way/1544723180
11 FLORABELLA STREET WARRIMOO,WARRIMOO,1998,28,67.6,0.85,exact,45.3,14256.7,9.3,4.9,0.998,residential,,,,,2774,BLUE MOUNTAINS,,-33.7263335,150.597312,way/1007354181
23 ROSS CRESCENT BLAXLAND,BLAXLAND,1998,28,67.6,0.36,exact,30.2,1015.9,8.1,5.0,0.747,residential,,,,,2774,BLUE MOUNTAINS,,-33.7456341,150.6039372,way/1011150060
101 SHEPHERDS DRIVE CHERRYBROOK,CHERRYBROOK,1998,28,67.6,0.48,exact,51.0,1066.9,8.7,6.9,0.851,residential,,,,,2126,HORNSBY,,-33.7160359,151.0474975,way/1270723573
44 CABER CLOSE DURAL,DURAL,1998,28,67.6,0.78,nearby,26.2,1903.5,5.9,4.4,1.0,residential,,,,,2158,HORNSBY,,-33.7178386,151.0327192,way/1277774014
